run_id,trial_idx,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,success,timeout,time_to_goal,path_length,path_efficiency,straight_line,min_clearance,mean_jerk,n_close_approach
20260615_025446,1,1.0,5.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,5.0990195135927845,inf,0.0,0
20260615_025446,2,-2.0,-1.0,1.57,2.0,1.5,0.0,True,False,0.0,0.0,0.0,4.716990566028302,inf,0.0,0
20260615_025446,3,0.0,0.0,0.0,-4.0,-1.0,0.0,True,False,0.0,0.0,0.0,4.123105625617661,inf,0.0,0
20260615_025446,4,0.0,0.0,0.0,-4.0,-1.0,0.0,True,False,0.0,0.0,0.0,4.123105625617661,inf,0.0,0
20260615_025446,5,1.0,5.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,5.0990195135927845,inf,0.0,0
20260615_030616,1,1.0,5.0,0.0,0.0,0.0,0.0,True,False,34.161667618,6.2469634431481875,0.8162396914913126,5.0990195135927845,0.7032686088876908,0.5777777250828814,0
20260615_030616,2,-2.0,-1.0,1.57,2.0,1.5,0.0,True,False,20.002225954,4.617907389331149,1.0214562935857194,4.716990566028302,0.5005151040499456,0.3719269763012504,0
20260615_030616,3,0.0,0.0,0.0,-4.0,-1.0,0.0,True,False,27.989031396,5.114004858325991,0.8062381127591087,4.123105625617661,0.663654641210158,0.5801799611780989,0
20260615_030616,4,0.0,0.0,0.0,-4.0,-1.0,0.0,True,False,30.201046107,5.287271952932949,0.7798172029586063,4.123105625617661,0.8621253283212904,0.6568991276005292,0
20260615_030616,5,1.0,5.0,0.0,0.0,0.0,0.0,True,False,36.400223557,6.339783993681592,0.8042891553836238,5.0990195135927845,0.5669282836562456,0.6507013404988988,0
20260615_032625,1,1.0,5.0,0.0,0.0,0.0,0.0,True,False,39.258358228,6.056170571868348,0.8419544088269827,5.0990195135927845,0.7110055446972735,0.4504184213682788,0
20260615_032625,2,-2.0,-1.0,1.57,2.0,1.5,0.0,True,False,32.288135508,4.811881719685223,0.9802798241551273,4.716990566028302,0.48691851074823217,0.3836631027951593,0
20260615_032625,3,0.0,0.0,0.0,-4.0,-1.0,0.0,True,False,44.468525284,5.166392807932696,0.7980627449168928,4.123105625617661,1.0071352720022213,0.44077152335230746,0
20260615_032625,4,0.0,0.0,0.0,-4.0,-1.0,0.0,True,False,39.294732451,4.747429472032788,0.8684922335143611,4.123105625617661,1.0836295244149596,0.4016416789014602,0
20260615_032625,5,1.0,5.0,0.0,0.0,0.0,0.0,True,False,42.340921321,5.850395441908484,0.8715683519556091,5.0990195135927845,0.5536363484132876,0.46663765068312674,0
20260615_033124,1,1.0,5.0,0.0,0.0,0.0,0.0,False,False,5.480154923,0.877551751013459,5.810505770974846,5.0990195135927845,1.417871573992452,0.6842936130468089,0
20260615_033432,1,1.0,5.0,0.0,0.0,0.0,0.0,True,False,39.769855971,5.575083791012633,0.914608587912653,5.0990195135927845,0.5936909498242098,0.5338135395498844,0
20260615_033432,2,-2.0,-1.0,1.57,2.0,1.5,0.0,True,False,34.702997507,4.805791115786537,0.9815221786343283,4.716990566028302,0.45583064918386323,0.4113242272899211,0
20260615_033432,3,0.0,0.0,0.0,-4.0,-1.0,0.0,True,False,41.10603106,5.144720587630946,0.801424597388345,4.123105625617661,0.887758048178376,0.5627924370419485,0
20260615_033432,4,0.0,0.0,0.0,-4.0,-1.0,0.0,True,False,57.462826943,5.0434872690826165,0.8175108621554291,4.123105625617661,0.9213558005441043,0.6269273908580454,0
20260615_033432,5,1.0,5.0,0.0,0.0,0.0,0.0,True,False,50.261594429,5.6407540058431005,0.9039606244680856,5.0990195135927845,0.367717036104946,0.6557249630303329,0
dwb_corridor_001,1,1.0,5.0,0.0,0.0,0.0,0.0,True,False,71.8,4.966707476182744,1.0266397886415752,5.0990195135927845,1.457041049705888,nan,0
dwb_corridor_001,2,-2.0,-1.0,1.57,2.0,1.5,0.0,True,False,37.6,0.0,0.0,4.716990566028302,0.4995063356413275,1.8721449859052173e-17,0
dwb_corridor_001,3,0.0,0.0,0.0,-4.0,-1.0,0.0,True,False,44.6,0.0,0.0,4.123105625617661,2.5002377020345494,nan,0
dwb_corridor_001,4,0.0,0.0,0.0,-4.0,-1.0,0.0,True,False,46.5,0.0,0.0,4.123105625617661,2.5002420918152692,nan,0
dwb_corridor_001,5,1.0,5.0,0.0,0.0,0.0,0.0,True,False,61.9,0.0,0.0,5.0990195135927845,2.5005900218096917,2.1263844377641947e-18,0
